"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2163","Valid Token and Incorrect Data, When a GET body containing incorrect data (id) is sent, it should be verified that(An administrator ","","Fri Dec 06 20:21:53 CET 2024","passed","Fri Dec 06 20:21:56 CET 2024","","","",""
"","1179","Invalid Token When sending a GET request with an invalid authorization to the /api/visitorsList endpoint,(An administrator ","","Fri Dec 06 20:21:52 CET 2024","broken","Fri Dec 06 20:21:53 CET 2024","","","",""
